Дата,Максимальная температура,Минимальная температура,Средняя температура,Атмосферное давление,Скорость ветра,Осадки,Эффективная температура
01.01.2020,-1.0,-3.0,-2.2,,2,1.0,-5.3
02.01.2020,-1.8,-9.0,-6.3,,4,1.0,-11.2
03.01.2020,-0.9,-8.0,-4.6,,6,0.0,-10.6
04.01.2020,1.0,-3.8,-1.5,,7,0.0,-7.8
05.01.2020,1.0,-3.0,0.0,,4,,-4.2
06.01.2020,0.9,-5.0,-2.5,,1,2.0,-5.0
07.01.2020,-2.0,-7.0,-4.1,,2,4.0,-7.4
08.01.2020,-3.6,-7.0,-6.0,,1,0.0,-8.9
09.01.2020,-2.3,-5.8,-3.8,,6,0.0,-9.7
10.01.2020,-3.7,-6.2,-4.4,,4,1.0,-9.1
11.01.2020,-2.0,-5.0,-3.3,,3,0.0,-7.2
12.01.2020,-2.0,-9.0,-5.4,,3,0.0,-9.5
13.01.2020,-1.0,-4.4,-3.1,,6,2.0,-8.9
14.01.2020,0.7,-3.8,-0.2,,3,4.0,-3.9
15.01.2020,-0.8,-5.0,-2.6,,4,0.0,-7.2
16.01.2020,2.0,-5.3,0.1,,5,1.0,-4.8
17.01.2020,1.1,-0.3,0.7,,3,7.0,-2.7
18.01.2020,2.0,0.0,1.2,,2,0.0,-1.5
19.01.2020,1.1,-1.0,0.1,,3,0.0,-3.5
20.01.2020,0.0,-2.6,-0.8,,3,0.0,-4.5
21.01.2020,1.0,-1.7,0.1,,4,1.0,-4.1
22.01.2020,1.9,-5.0,-0.8,,4,6.0,-5.1
23.01.2020,-2.0,-7.0,-4.2,,3,1.0,-8.2
24.01.2020,-5.8,-10.0,-8.0,,4,0.0,-13.1
25.01.2020,1.0,-9.9,-2.2,,4,5.0,-6.7
26.01.2020,-0.4,-7.0,-3.3,,4,6.0,-7.9
27.01.2020,0.2,-13.0,-5.5,,6,2.0,-11.7
28.01.2020,-8.8,-16.0,-13.7,,2,0.0,-17.9
29.01.2020,-7.0,-14.2,-9.7,,5,3.0,-15.6
30.01.2020,-1.0,-9.9,-3.7,,5,7.0,-8.9
31.01.2020,0.0,-2.0,-0.8,,5,14.0,-5.7
01.02.2020,0.0,-4.0,-1.3,,3,0.0,-4.9
02.02.2020,0.0,-4.0,-1.1,,6,0.0,-6.7
03.02.2020,3.0,-1.7,1.0,,6,20.0,-4.3
04.02.2020,2.0,-4.0,-0.1,,3,0.0,-3.7
05.02.2020,-2.0,-7.0,-3.5,,4,0.0,-8.2
06.02.2020,-5.0,-12.0,-8.9,,3,0.0,-13.4
07.02.2020,-6.2,-14.0,-11.6,,2,0.0,-15.7
08.02.2020,-9.0,-19.0,-13.7,,5,0.0,-19.9
09.02.2020,-11.0,-21.0,-15.3,,2,0.0,-19.6
10.02.2020,-5.0,-15.1,-8.0,,5,0.0,-13.8
11.02.2020,-3.0,-8.2,-6.2,,6,0.0,-12.5
12.02.2020,-3.7,-12.0,-8.1,,3,0.0,-12.6
13.02.2020,-4.7,-13.0,-9.3,,2,0.0,-13.2
14.02.2020,-4.1,-14.0,-9.9,,2,0.0,-13.8
15.02.2020,-3.6,-9.0,-6.9,,2,0.0,-10.6
16.02.2020,-4.4,-8.0,-6.2,,2,1.0,-9.8
17.02.2020,1.0,-5.2,-1.6,,9,0.0,-9.3
18.02.2020,2.0,-0.2,0.8,,9,0.0,-6.6
19.02.2020,1.0,0.0,0.9,,4,0.0,-3.2
20.02.2020,5.5,-5.0,1.0,,2,0.0,-1.9
21.02.2020,5.2,-7.0,-1.8,,1,0.0,-4.3
22.02.2020,-1.0,-11.0,-6.9,,1,0.0,-9.9
23.02.2020,0.0,-9.0,-3.2,,6,1.0,-9.1
24.02.2020,3.0,-2.7,0.7,,4,5.0,-3.5
25.02.2020,1.0,0.0,0.2,,4,11.0,-3.9
26.02.2020,1.3,-5.0,-1.8,,5,1.0,-7.0
27.02.2020,4.3,-1.9,2.0,,6,1.0,-3.3
28.02.2020,3.6,2.0,2.8,,6,1.0,-2.3
29.02.2020,3.8,-4.0,0.7,,4,2.0,-3.5
01.03.2020,4.0,-4.0,-0.6,,3,0.0,-4.4
02.03.2020,5.5,-3.3,1.8,,6,0.0,-3.8
03.03.2020,5.1,-2.0,1.2,,4,0.0,-3.1
04.03.2020,2.0,-1.1,0.6,,3,1.0,-2.8
05.03.2020,2.2,-4.0,-0.6,,2,0.0,-3.6
06.03.2020,2.0,-4.0,-1.5,,6,0.0,-7.3
07.03.2020,2.6,-3.4,-0.4,,7,0.0,-6.9
08.03.2020,2.7,-1.0,1.1,,7,0.0,-5.2
09.03.2020,5.7,0.9,2.8,,3,0.0,-0.5
10.03.2020,9.3,1.0,4.4,,2,0.0,2.0
11.03.2020,11.7,2.0,6.4,,6,0.0,1.1
12.03.2020,11.5,2.0,5.6,,5,2.0,1.4
13.03.2020,10.1,0.0,5.2,,6,1.0,0.1
14.03.2020,4.5,0.0,1.4,,3,3.0,-2.0
15.03.2020,2.3,-2.0,0.3,,4,3.0,-3.7
16.03.2020,1.0,-3.1,-0.9,,4,5.0,-5.2
17.03.2020,6.7,-8.0,1.1,,3,0.0,-2.7
18.03.2020,10.0,-2.0,4.2,,5,0.0,-0.7
19.03.2020,11.6,-1.0,6.4,,7,0.0,0.3
20.03.2020,5.0,-1.0,2.3,,3,4.0,-1.0
21.03.2020,5.7,-3.0,0.8,,4,2.0,-3.5
22.03.2020,-1.0,-5.0,-2.7,,5,4.0,-7.9
23.03.2020,3.8,-5.0,-2.2,,6,24.0,-7.9
24.03.2020,2.0,-3.0,-1.7,,3,17.0,-5.5
25.03.2020,2.7,-6.0,-1.8,,2,6.0,-5.1
26.03.2020,6.0,-3.4,2.3,,4,0.0,-2.0
27.03.2020,11.5,-2.5,5.1,,2,0.0,2.4
28.03.2020,10.6,-2.0,4.3,,1,0.0,2.2
29.03.2020,14.8,-1.0,6.8,,2,0.0,4.2
30.03.2020,15.6,3.0,9.1,,3,0.0,5.9
31.03.2020,17.0,4.0,10.7,,3,0.0,7.8
01.04.2020,8.2,-4.0,1.2,,5,0.0,-3.9
02.04.2020,7.6,-4.0,2.5,,5,0.0,-2.6
03.04.2020,12.4,-0.3,6.4,,4,0.0,2.2
04.04.2020,16.1,0.0,8.3,,3,0.0,4.8
05.04.2020,9.0,0.0,5.3,,3,0.0,1.7
06.04.2020,8.2,-1.2,2.2,,5,1.0,-2.9
07.04.2020,6.0,-2.0,1.6,,6,0.0,-4.3
08.04.2020,10.0,-2.0,4.7,,3,0.0,1.0
09.04.2020,17.2,1.0,10.7,,4,0.0,7.0
10.04.2020,15.0,6.0,10.7,,9,0.0,3.5
11.04.2020,14.1,5.0,9.8,,6,0.0,4.4
12.04.2020,11.0,0.0,5.3,,4,2.0,1.4
13.04.2020,3.0,-1.0,0.7,,4,0.0,-3.5
14.04.2020,15.6,-4.0,7.6,,3,0.0,4.2
15.04.2020,18.0,1.0,10.3,,7,0.0,4.7
16.04.2020,8.0,0.0,3.9,,6,6.0,-1.3
17.04.2020,10.0,0.8,5.2,,6,11.0,0.3
18.04.2020,9.3,-1.0,4.6,,4,0.0,0.7
19.04.2020,11.0,-1.0,6.4,,3,0.0,3.0
20.04.2020,14.8,2.0,9.5,,2,0.0,6.9
21.04.2020,11.0,4.0,7.9,,6,8.0,3.3
22.04.2020,7.8,0.0,3.7,,6,1.0,-1.3
23.04.2020,7.1,-2.0,1.9,,5,0.0,-3.0
24.04.2020,7.2,-2.0,2.6,,2,1.0,-0.4
25.04.2020,18.1,3.0,11.8,,8,1.0,5.8
26.04.2020,19.1,6.0,14.2,,7,0.0,8.7
27.04.2020,19.0,5.0,13.1,,3,0.0,10.4
28.04.2020,13.4,2.0,7.6,,4,2.0,4.3
29.04.2020,15.0,2.8,11.0,,6,0.0,6.0
30.04.2020,22.2,6.0,13.8,,5,0.0,9.9
01.05.2020,23.4,5.0,14.4,,4,0.0,11.2
02.05.2020,15.3,3.0,9.3,,5,0.0,5.0
03.05.2020,19.0,3.0,11.9,,2,0.0,9.5
04.05.2020,24.0,5.0,15.9,,3,0.0,13.0
05.05.2020,25.0,12.0,19.1,,5,0.0,15.3
06.05.2020,20.0,11.0,15.7,,5,0.0,12.0
07.05.2020,27.0,11.0,19.2,,5,0.0,15.7
08.05.2020,29.0,12.0,20.8,,4,0.0,17.7
09.05.2020,28.1,11.0,19.9,,4,0.0,17.1
10.05.2020,19.0,8.8,13.8,,5,5.0,10.5
11.05.2020,19.7,8.0,14.8,,3,0.0,12.5
12.05.2020,22.0,9.0,15.5,,3,0.0,13.3
13.05.2020,21.2,7.0,14.3,,5,0.0,11.2
14.05.2020,15.0,5.0,10.1,,5,7.0,5.9
15.05.2020,14.9,4.7,10.2,,4,2.0,7.1
16.05.2020,14.6,6.0,10.7,,4,1.0,7.2
17.05.2020,18.0,3.7,12.0,,3,0.0,9.3
18.05.2020,19.0,4.0,13.6,,3,0.0,11.1
19.05.2020,16.0,6.0,9.2,,5,2.0,5.6
20.05.2020,14.4,3.0,7.6,,5,1.0,3.6
21.05.2020,19.1,2.0,12.9,,2,0.0,11.0
22.05.2020,17.0,8.8,13.1,,3,1.0,10.5
23.05.2020,19.0,7.0,14.0,,4,0.0,11.0
24.05.2020,18.0,10.0,14.4,,3,0.0,12.5
25.05.2020,20.0,9.0,14.5,,2,1.0,13.0
26.05.2020,23.5,10.0,18.0,,7,0.0,13.5
27.05.2020,24.0,13.0,20.1,,4,0.0,18.5
28.05.2020,22.0,12.0,16.7,,4,0.0,14.3
29.05.2020,25.0,11.0,19.1,,3,0.0,17.5
30.05.2020,29.0,13.0,22.3,,3,0.0,21.1
31.05.2020,25.0,13.0,20.6,,3,,19.5
01.06.2020,23.0,12.0,17.9,,3,0.0,16.5
02.06.2020,16.0,11.0,14.0,,3,,12.9
03.06.2020,22.0,12.0,17.6,,4,,16.0
04.06.2020,21.0,15.0,17.7,,4,,16.4
05.06.2020,26.0,15.0,19.3,,3,,18.7
06.06.2020,19.0,14.0,15.7,,1,,16.2
07.06.2020,23.0,13.0,18.3,,3,,17.5
08.06.2020,22.0,13.0,16.6,,1,,17.0
09.06.2020,23.0,13.0,17.4,,3,0.0,16.7
10.06.2020,27.0,13.0,21.0,,1,0.0,21.8
11.06.2020,27.0,15.0,21.9,,2,0.0,22.2
12.06.2020,30.0,14.0,22.2,,4,,21.5
13.06.2020,21.0,13.0,16.5,,5,,13.5
14.06.2020,21.0,9.0,15.9,,4,,12.9
15.06.2020,23.0,9.0,17.1,,2,0.0,15.9
16.06.2020,26.0,11.0,19.9,,2,0.0,19.2
17.06.2020,28.0,14.0,22.4,,3,0.0,21.9
18.06.2020,26.0,12.0,19.9,,3,,18.9
19.06.2020,23.0,11.0,17.9,,3,0.0,15.7
20.06.2020,28.0,10.0,21.2,,1,0.0,21.3
21.06.2020,22.0,9.0,17.4,,5,0.0,14.5
22.06.2020,19.0,8.0,13.9,,4,0.0,11.0
23.06.2020,20.0,8.0,14.8,,2,,13.4
24.06.2020,20.0,12.0,16.1,,3,,15.2
25.06.2020,18.0,8.0,13.6,,6,0.0,9.2
26.06.2020,21.0,8.0,15.8,,5,0.0,12.4
27.06.2020,27.0,13.0,21.1,,5,,19.1
28.06.2020,22.0,11.0,18.1,,4,0.0,15.8
29.06.2020,21.0,10.0,16.1,,3,0.0,14.1
30.06.2020,19.0,5.0,14.1,,3,0.0,11.9
01.07.2020,22.0,6.0,17.0,,2,,15.7
02.07.2020,27.0,14.0,21.1,,3,,20.2
03.07.2020,29.0,16.0,23.7,,2,0.0,23.8
04.07.2020,31.0,17.0,26.3,,2,0.0,26.8
05.07.2020,32.0,19.0,25.9,,2,0.0,27.1
06.07.2020,35.0,19.0,28.1,,1,0.0,29.6
07.07.2020,37.0,21.0,29.3,,2,0.0,29.8
08.07.2020,35.0,21.0,28.4,,3,0.0,28.5
09.07.2020,35.0,22.0,28.8,,3,0.0,28.5
10.07.2020,36.0,19.0,26.8,,5,,25.4
11.07.2020,28.0,18.0,22.6,,5,0.0,21.4
12.07.2020,32.0,17.0,25.8,,3,0.0,26.1
13.07.2020,36.0,20.0,28.6,,4,,27.9
14.07.2020,35.0,21.0,28.6,,5,,27.5
15.07.2020,33.0,21.0,27.6,,3,0.0,27.4
16.07.2020,27.0,17.0,22.6,,2,,22.9
17.07.2020,29.0,15.0,22.5,,3,0.0,21.2
18.07.2020,27.0,16.0,22.5,,5,0.0,20.2
19.07.2020,28.0,17.0,22.3,,3,0.0,21.6
20.07.2020,28.0,14.0,21.9,,3,0.0,21.0
21.07.2020,29.0,13.0,22.3,,2,0.0,21.9
22.07.2020,29.0,15.0,23.3,,2,0.0,23.1
23.07.2020,28.0,16.0,21.9,,4,0.0,20.5
24.07.2020,25.0,15.0,20.8,,4,0.0,18.8
25.07.2020,25.0,15.0,20.1,,3,,18.5
26.07.2020,25.0,13.0,19.4,,4,0.0,17.1
27.07.2020,27.0,15.0,20.6,,3,0.0,19.4
28.07.2020,28.0,15.0,22.2,,2,0.0,21.6
29.07.2020,29.0,15.0,22.4,,2,,22.0
30.07.2020,32.0,16.0,25.7,,3,0.0,25.0
31.07.2020,25.0,16.0,20.2,,3,,20.1
01.08.2020,23.0,15.0,18.3,,3,,18.1
02.08.2020,22.0,13.0,17.8,,3,0.0,16.8
03.08.2020,23.0,13.9,17.6,,2,,17.5
04.08.2020,17.0,15.0,16.0,,7,,12.5
05.08.2020,33.0,16.0,24.6,,4,0.0,24.0
06.08.2020,34.0,20.0,26.5,,3,0.0,26.5
07.08.2020,32.0,17.0,23.2,,4,,22.6
08.08.2020,24.0,15.0,19.7,,7,0.0,15.9
09.08.2020,23.0,14.0,18.9,,8,0.0,14.1
10.08.2020,21.0,12.0,17.0,,7,0.0,12.6
11.08.2020,23.0,11.0,18.1,,4,0.0,15.6
12.08.2020,24.0,11.0,19.3,,2,,18.4
13.08.2020,25.0,14.0,18.6,,3,,17.2
14.08.2020,22.0,12.0,16.0,,2,,15.5
15.08.2020,18.0,13.0,14.8,,3,,13.8
16.08.2020,14.0,12.0,13.6,,4,,11.7
17.08.2020,19.0,11.0,15.1,,4,,13.1
18.08.2020,19.0,10.0,14.4,,6,0.0,10.3
19.08.2020,19.0,8.0,14.1,,4,0.0,11.2
20.08.2020,20.0,6.0,14.0,,4,0.0,11.2
21.08.2020,18.0,8.0,13.8,,4,0.0,11.4
22.08.2020,20.0,9.0,14.8,,3,0.0,13.1
23.08.2020,23.0,9.0,17.0,,3,0.0,15.4
24.08.2020,26.0,12.0,20.1,,3,0.0,19.0
25.08.2020,28.0,15.0,21.3,,4,0.0,19.7
26.08.2020,29.0,13.0,22.1,,2,0.0,22.1
27.08.2020,30.0,14.0,22.5,,3,0.0,20.9
28.08.2020,30.0,14.0,22.7,,4,,20.8
29.08.2020,23.0,14.0,18.8,,3,,18.3
30.08.2020,23.0,11.0,17.6,,3,0.0,16.5
31.08.2020,29.0,11.0,21.6,,3,0.0,20.6
01.09.2020,32.0,16.0,25.3,,4,0.0,23.5
02.09.2020,21.0,8.0,17.1,,6,0.0,13.5
03.09.2020,21.0,6.0,13.3,,4,0.0,10.3
04.09.2020,20.0,6.0,13.4,,2,0.0,11.5
05.09.2020,21.0,6.0,14.2,,3,0.0,11.7
06.09.2020,22.0,8.0,15.3,,2,0.0,13.7
07.09.2020,26.0,8.0,17.6,,3,0.0,15.4
08.09.2020,27.0,11.0,20.1,,3,0.0,17.9
09.09.2020,19.0,6.0,13.9,,4,,11.4
10.09.2020,18.0,7.0,12.9,,3,0.0,11.2
11.09.2020,19.0,9.0,14.2,,4,,11.9
12.09.2020,18.0,6.0,12.4,,3,0.0,10.4
13.09.2020,20.0,6.0,14.2,,3,0.0,12.1
14.09.2020,14.0,8.0,11.7,,4,,9.0
15.09.2020,16.0,7.0,11.1,,4,,8.2
16.09.2020,12.0,7.0,9.9,,7,,4.9
17.09.2020,14.0,8.0,10.6,,4,0.0,7.4
18.09.2020,21.0,8.0,15.1,,5,0.0,11.3
19.09.2020,13.0,7.0,10.1,,5,,6.6
20.09.2020,11.0,6.0,8.1,,5,,4.2
21.09.2020,12.0,6.0,9.0,,4,,5.8
22.09.2020,17.0,9.0,13.4,,4,0.0,10.8
23.09.2020,19.0,7.0,13.9,,5,0.0,10.5
24.09.2020,18.0,3.0,11.6,,1,0.0,10.1
25.09.2020,18.0,5.0,11.4,,3,0.0,8.5
26.09.2020,19.0,5.0,12.3,,3,0.0,9.5
27.09.2020,19.0,5.0,11.9,,1,0.0,10.4
28.09.2020,20.0,4.0,12.2,,1,0.0,10.7
29.09.2020,21.0,3.0,12.5,,1,0.0,11.2
30.09.2020,21.0,6.0,13.1,,2,0.0,11.3
01.10.2020,21.0,7.0,13.7,,1,0.0,12.6
02.10.2020,21.0,6.0,13.3,,1,0.0,12.4
03.10.2020,20.0,5.0,12.6,,2,0.0,10.8
04.10.2020,14.0,1.0,7.8,,3,0.0,4.7
05.10.2020,14.0,0.0,6.6,,1,0.0,4.7
06.10.2020,15.0,3.0,10.8,,4,0.0,7.2
07.10.2020,19.0,7.0,13.2,,3,0.0,10.6
08.10.2020,15.6,6.0,10.1,,4,0.0,6.9
09.10.2020,16.0,4.0,10.0,,4,0.0,6.3
10.10.2020,15.0,4.0,9.8,,4,0.0,5.9
11.10.2020,16.0,2.0,9.0,,3,0.0,5.5
12.10.2020,18.0,2.0,11.3,,4,0.0,7.4
13.10.2020,18.7,8.0,12.1,,3,0.0,9.0
14.10.2020,19.4,6.0,12.7,,3,0.0,9.3
15.10.2020,22.0,6.3,15.2,,5,0.0,11.0
16.10.2020,17.0,9.0,13.2,,3,0.0,11.0
17.10.2020,12.9,-3.0,4.7,,4,0.0,0.8
18.10.2020,15.0,-4.0,7.6,,6,0.0,2.5
19.10.2020,13.4,3.0,9.6,,3,1.0,6.9
20.10.2020,11.2,3.0,6.7,,3,0.0,3.4
21.10.2020,5.1,0.0,2.2,,4,1.0,-2.0
22.10.2020,4.7,-4.0,0.8,,3,0.0,-3.0
23.10.2020,9.0,-3.7,3.2,,4,7.0,-0.6
24.10.2020,15.0,4.6,11.1,,3,2.0,9.0
25.10.2020,11.0,1.0,7.2,,4,10.0,4.0
26.10.2020,5.2,-1.0,1.9,,5,3.0,-2.9
27.10.2020,4.1,-3.0,0.1,,3,0.0,-3.6
28.10.2020,5.3,-4.0,0.6,,3,0.0,-3.0
29.10.2020,6.1,-4.0,1.0,,3,0.0,-2.6
30.10.2020,7.0,-0.8,2.3,,3,0.0,-1.2
31.10.2020,6.1,2.0,4.7,,2,0.0,2.2
01.11.2020,8.2,3.0,5.6,,4,2.0,2.1
02.11.2020,9.3,0.0,3.4,,4,0.0,-0.4
03.11.2020,7.5,-1.0,2.0,,3,0.0,-1.3
04.11.2020,7.7,-3.0,1.2,,2,0.0,-1.5
05.11.2020,4.5,-1.0,0.0,,1,0.0,-2.1
06.11.2020,6.2,1.0,4.1,,3,0.0,1.1
07.11.2020,4.6,1.0,3.1,,4,0.0,-0.7
08.11.2020,8.0,2.0,5.3,,4,0.0,1.6
09.11.2020,3.8,-3.0,0.6,,4,0.0,-3.7
10.11.2020,2.0,-1.0,0.3,,4,0.0,-4.0
11.11.2020,1.1,-1.1,-0.6,,4,1.0,-4.9
12.11.2020,0.0,-2.0,-1.0,,4,1.0,-5.4
13.11.2020,1.0,-4.0,-0.9,,4,0.0,-5.3
14.11.2020,-3.0,-13.0,-7.3,,2,3.0,-11.0
15.11.2020,-5.8,-15.0,-11.7,,1,0.0,-15.1
16.11.2020,-7.6,-18.0,-13.2,,2,0.0,-17.4
17.11.2020,-5.0,-18.0,-12.9,,1,0.0,-16.4
18.11.2020,-3.1,-17.0,-10.7,,1,0.0,-14.1
19.11.2020,-3.0,-12.0,-7.4,,5,0.0,-13.1
20.11.2020,-2.0,-9.0,-6.7,,5,0.0,-12.4
21.11.2020,-5.0,-12.0,-8.3,,3,0.0,-12.8
22.11.2020,-5.0,-10.0,-7.2,,4,0.0,-12.3
23.11.2020,-5.0,-6.9,-5.5,,5,1.0,-11.0
24.11.2020,-1.0,-5.5,-2.2,,5,6.0,-7.3
25.11.2020,-2.0,-5.0,-3.2,,3,7.0,-7.1
26.11.2020,-3.2,-9.0,-6.4,,1,4.0,-9.3
27.11.2020,-5.1,-10.3,-7.3,,2,0.0,-10.9
28.11.2020,-0.5,-7.6,-3.2,,4,3.0,-7.7
29.11.2020,0.0,-7.0,-2.6,,3,0.0,-6.4
30.11.2020,-6.0,-13.0,-9.6,,4,0.0,-14.7
01.12.2020,-6.0,-12.0,-8.0,,3,0.0,-12.4
02.12.2020,-12.3,-20.0,-15.2,,1,0.0,-18.8
03.12.2020,-10.9,-22.0,-18.5,,0,0.0,-21.7
04.12.2020,-10.0,-21.0,-18.2,,0,0.0,-21.4
05.12.2020,-10.8,-23.0,-19.1,,0,0.0,-22.3
06.12.2020,-11.5,-21.0,-17.5,,1,0.0,-21.3
07.12.2020,-5.2,-20.0,-10.9,,4,0.0,-16.2
08.12.2020,-3.4,-13.0,-9.7,,4,0.0,-15.0
09.12.2020,-5.5,-16.0,-11.8,,3,0.0,-16.6
10.12.2020,-4.3,-18.0,-12.4,,2,0.0,-16.6
11.12.2020,-13.4,-19.0,-16.5,,2,0.0,-20.9
12.12.2020,-8.8,-16.0,-12.1,,2,1.0,-16.1
13.12.2020,-14.3,-20.0,-17.5,,1,0.0,-21.3
14.12.2020,-13.0,-20.0,-16.8,,2,0.0,-21.2
15.12.2020,-10.0,-18.0,-13.7,,3,0.0,-18.5
16.12.2020,-7.6,-12.9,-8.6,,3,0.0,-13.1
17.12.2020,-5.0,-8.6,-6.9,,3,0.0,-11.2
18.12.2020,1.0,-12.0,-2.5,,5,2.0,-7.7
19.12.2020,-9.1,-21.0,-16.7,,3,0.0,-21.7
20.12.2020,-13.0,-23.0,-17.4,,2,0.0,-21.8
21.12.2020,-13.0,-19.0,-16.3,,2,0.0,-20.7
22.12.2020,-8.0,-17.2,-11.1,,3,0.0,-15.7
23.12.2020,-8.0,-10.3,-8.9,,2,0.0,-12.7
24.12.2020,-7.0,-15.0,-9.5,,3,0.0,-14.0
25.12.2020,-9.0,-14.7,-10.9,,4,0.0,-16.2
26.12.2020,-6.0,-14.0,-10.7,,9,1.0,-19.2
27.12.2020,-2.0,-10.0,-4.0,,4,18.0,-8.6
28.12.2020,-2.6,-12.6,-5.9,,2,0.0,-9.4
29.12.2020,-7.7,-14.0,-11.2,,1,0.0,-14.5
30.12.2020,-8.2,-14.0,-10.6,,3,1.0,-15.2
31.12.2020,-10.0,-12.5,-11.1,,3,0.0,-15.7
